DATE,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,OPENPRC,NUMTRD,RETX
7/8/15,TSLA,TESLA MOTORS INC,254.31,260.79999,254.96001,6221077,-0.048231,254.81,254.96001,127101,259.32001,57264,-0.048231
7/9/15,TSLA,TESLA MOTORS INC,256.79001,262.95001,257.92001,3334077,0.01161,257.81,257.92001,127101,259.07999,32399,0.01161
7/10/15,TSLA,TESLA MOTORS INC,257.82001,263,259.14999,2610858,0.004769,259.01999,259.14999,127101,262.22,22475,0.004769
7/13/15,TSLA,TESLA MOTORS INC,256.04999,262.54999,262.16,2960319,0.011615,262.12,262.16,127101,262.25,26405,0.011615
7/14/15,TSLA,TESLA MOTORS INC,260.51001,265.9899,265.64999,1912641,0.013312,265.70001,265.70999,127101,262.10001,18045,0.013312
7/15/15,TSLA,TESLA MOTORS INC,262.07999,267.48999,263.14001,2021621,-0.009448,263.14001,263.29001,127101,266.73999,19717,-0.009448
7/16/15,TSLA,TESLA MOTORS INC,263.16,267.20001,266.67999,1615961,0.013453,266.54001,266.67001,127101,264.22,16479,0.013453
7/17/15,TSLA,TESLA MOTORS INC,268.25,275.54001,274.66,5004099,0.029924,274.60001,274.64999,127101,272.5,44547,0.029924
7/20/15,TSLA,TESLA MOTORS INC,272.54001,286.64999,282.26001,4978454,0.027671,282.07999,282.23999,127101,275,45781,0.027671
7/21/15,TSLA,TESLA MOTORS INC,266.54999,273.5,266.76999,6108686,-0.054879,266.76999,266.94,127101,270.04999,55877,-0.054879
7/22/15,TSLA,TESLA MOTORS INC,260.85999,269.44,267.87,3104960,0.004123,267.73999,267.87,127101,261.26999,28030,0.004123
7/23/15,TSLA,TESLA MOTORS INC,265.26999,269.89999,267.20001,2227739,-0.002501,267.09,267.20001,127101,269.64999,20756,-0.002501
7/24/15,TSLA,TESLA MOTORS INC,263.92001,271.09,265.41,2836498,-0.006699,265.29001,265.38,127101,267.38,24869,-0.006699
7/27/15,TSLA,TESLA MOTORS INC,250.78999,264.4321,253.00999,4696534,-0.04672,253,253.00999,127101,262.42999,43874,-0.04672
